AÑO,MUNICIPIO,TIPO DE EXPLOTACION,PRODUCCION POR VACA (LITROS/DIA),VACAS PARA ORDEÑO,TOTAL LITROS/DÍA
2018,FIRAVITOBA,DOBLE PROPOSITO,10,1000,10000
2018,FLORESTA,LECHERIA ESPECIALIZADA,,,
2018,FLORESTA,LECHERIA TRADICIONAL,5.5,2500,13750
2018,FLORESTA,DOBLE PROPOSITO,,,
2018,GACHANTIVA,LECHERIA ESPECIALIZADA,11,20,220
2018,GACHANTIVA,LECHERIA TRADICIONAL,4,500,2000
2018,GACHANTIVA,DOBLE PROPOSITO,3.5,500,1750
2018,GAMEZA,LECHERIA ESPECIALIZADA,,,
2018,GAMEZA,LECHERIA TRADICIONAL,,,
2018,GAMEZA,DOBLE PROPOSITO,8,1950,15600
2018,GARAGOA,LECHERIA ESPECIALIZADA,,,
2018,GARAGOA,LECHERIA TRADICIONAL,7,563,3941
2018,GARAGOA,DOBLE PROPOSITO,5,3590,17950
2018,GUACAMAYAS,LECHERIA ESPECIALIZADA,,,
2018,GUACAMAYAS,LECHERIA TRADICIONAL,,,
2018,GUACAMAYAS,DOBLE PROPOSITO,3,320,960
2018,GUATEQUE,LECHERIA ESPECIALIZADA,8,35,280
2018,GUATEQUE,LECHERIA TRADICIONAL,6,75,450
2018,GUATEQUE,DOBLE PROPOSITO,5,300,1500
2018,GUAYATA,LECHERIA ESPECIALIZADA,,,
2018,GUAYATA,LECHERIA TRADICIONAL,6,620,3720
2018,GUAYATA,DOBLE PROPOSITO,6,200,1200
2018,GUICAN,LECHERIA ESPECIALIZADA,12,150,1800
2018,GUICAN,LECHERIA TRADICIONAL,6,350,2100
2018,GUICAN,DOBLE PROPOSITO,8,160,1280
2018,IZA,LECHERIA ESPECIALIZADA,15,470,7050
2018,IZA,LECHERIA TRADICIONAL,10.1,90,909
2018,IZA,DOBLE PROPOSITO,8.3,360,2988
2018,JENESANO,LECHERIA ESPECIALIZADA,10,350,3500
2018,JENESANO,LECHERIA TRADICIONAL,7,750,5250
2018,JENESANO,DOBLE PROPOSITO,6,520,3120
2018,JERICO,LECHERIA ESPECIALIZADA,,,
2018,JERICO,LECHERIA TRADICIONAL,6,300,1800
2018,JERICO,DOBLE PROPOSITO,10,540,5400
2018,LA CAPILLA,LECHERIA ESPECIALIZADA,,,
2018,LA CAPILLA,LECHERIA TRADICIONAL,,,
2018,LA CAPILLA,DOBLE PROPOSITO,5,800,4000
2018,LA UVITA,LECHERIA ESPECIALIZADA,,,
2018,LA UVITA,LECHERIA TRADICIONAL,7,730,5110
2018,LA UVITA,DOBLE PROPOSITO,10,1150,11500
2018,LA VICTORIA,LECHERIA ESPECIALIZADA,,,
2018,LA VICTORIA,LECHERIA TRADICIONAL,5,250,1250
2018,LA VICTORIA,DOBLE PROPOSITO,5,250,1250
2018,LABRANZAGRANDE,LECHERIA ESPECIALIZADA,,,
2018,LABRANZAGRANDE,LECHERIA TRADICIONAL,,,
2018,LABRANZAGRANDE,DOBLE PROPOSITO,5,900,4500
2018,MACANAL,LECHERIA ESPECIALIZADA,,,
2018,MACANAL,LECHERIA TRADICIONAL,8,100,800
2018,MACANAL,DOBLE PROPOSITO,4,2046,8184
2018,MARIPI,LECHERIA ESPECIALIZADA,10,180,1800
2018,MARIPI,LECHERIA TRADICIONAL,7,590,4130
2018,MARIPI,DOBLE PROPOSITO,4,760,3040
